SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,datetime
2021-01-01,1,28354,28969,26130,1158,6527,0,13471,0,14,2003,-1,0,215,203,999,0,0,0,0,2021-01-01 00:00:00
2021-01-01,3,27759,28376,25557,1202,6527,0,13471,0,16,2004,-1,0,362,202,999,0,0,0,0,2021-01-01 01:00:00
2021-01-01,5,26004,27178,23933,1193,6527,0,13471,0,573,2004,-1,0,304,203,1000,0,0,0,0,2021-01-01 02:00:00
2021-01-01,7,24739,26442,22666,1208,6527,0,13471,0,1102,1812,-1,0,235,202,906,0,0,0,0,2021-01-01 03:00:00
2021-01-01,9,23770,25539,21797,1252,6527,0,13471,0,1168,1806,-1,0,185,203,903,0,0,0,0,2021-01-01 04:00:00
2021-01-01,11,23418,25161,21527,1309,6527,0,13471,0,1142,1805,-1,0,169,203,903,0,0,0,0,2021-01-01 05:00:00
2021-01-01,13,24055,25601,22125,1387,6527,0,13471,0,945,1901,-1,0,172,203,950,0,0,0,0,2021-01-01 06:00:00
2021-01-01,15,25048,25728,23054,1445,6527,0,13471,0,79,1905,-1,0,37,203,952,0,0,0,0,2021-01-01 07:00:00
2021-01-01,17,25852,26469,23791,1442,6527,0,13471,0,16,2002,-1,0,152,203,814,0,0,0,0,2021-01-01 08:00:00
2021-01-01,19,28128,28739,25916,1410,6527,202,13471,0,10,2004,-1,0,301,118,993,0,0,0,0,2021-01-01 09:00:00
2021-01-01,21,30730,31340,28257,1404,6527,533,13471,0,9,2004,-1,0,401,81,999,0,0,0,0,2021-01-01 10:00:00
2021-01-01,23,32729,33339,29983,1449,6527,964,13471,0,9,2004,-1,0,401,133,971,0,0,0,0,2021-01-01 11:00:00
2021-01-01,25,34221,34831,31311,1506,6527,1122,13471,0,9,2004,-1,0,401,217,998,0,0,0,0,2021-01-01 12:00:00
2021-01-01,27,34973,35579,32008,1510,6527,1102,13471,0,5,2004,-1,0,401,144,999,0,0,0,0,2021-01-01 13:00:00
2021-01-01,29,35016,35623,32095,1443,6527,784,13471,0,6,2004,-1,0,401,90,1000,0,0,0,0,2021-01-01 14:00:00
2021-01-01,31,35394,36006,32315,1416,6527,175,13471,0,11,2004,-1,0,401,6,999,0,0,0,0,2021-01-01 15:00:00
2021-01-01,33,37497,38108,34107,1373,6527,0,13471,0,10,2004,-1,0,303,0,1019,0,0,0,0,2021-01-01 16:00:00
2021-01-01,35,39916,40525,36198,1318,6527,0,13471,0,8,2004,-1,0,185,0,1020,0,0,0,0,2021-01-01 17:00:00
2021-01-01,37,38816,39426,35341,1321,6527,0,13471,0,9,2004,-1,0,34,0,1019,0,0,0,0,2021-01-01 18:00:00
