SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,datetime
2020-01-01,1,26340,27153,23821,1073,6465,0,13040,0,15,1703,0,852,-151,-47,854,0,0,0,0,2020-01-01 00:00:00
2020-01-01,3,26569,27240,24085,1010,6465,0,13040,0,18,1703,0,852,-53,0,854,0,0,0,0,2020-01-01 01:00:00
2020-01-01,5,25075,25824,22788,1001,6465,0,13040,0,15,1704,0,853,-74,-60,854,0,0,0,0,2020-01-01 02:00:00
2020-01-01,7,23724,25226,21455,964,6465,0,13040,0,828,1703,0,213,-74,0,854,0,0,0,0,2020-01-01 03:00:00
2020-01-01,9,22537,23822,20472,975,6465,0,13040,0,593,1704,0,104,-74,0,-18,0,0,0,0,2020-01-01 04:00:00
2020-01-01,11,22358,23879,20376,1085,6465,0,13040,0,847,1700,0,316,-74,0,175,0,0,0,0,2020-01-01 05:00:00
2020-01-01,13,23354,24795,21325,1169,6465,0,13040,0,841,1703,0,587,13,0,808,0,0,0,0,2020-01-01 06:00:00
2020-01-01,15,24162,25199,22203,1158,6465,0,13040,0,355,1704,0,785,-82,0,853,0,0,0,0,2020-01-01 07:00:00
2020-01-01,17,24904,25618,22941,1203,6465,0,13040,0,114,1704,0,851,14,0,854,0,0,0,0,2020-01-01 08:00:00
2020-01-01,19,26840,27506,24776,1217,6465,264,13040,0,14,1704,0,854,-52,15,854,0,0,0,0,2020-01-01 09:00:00
2020-01-01,21,29209,29818,26849,1213,6465,897,13040,0,9,1798,0,900,69,23,900,0,0,0,0,2020-01-01 10:00:00
2020-01-01,23,30508,31117,28051,1386,6465,1077,13040,0,9,1954,0,976,79,134,977,0,0,0,0,2020-01-01 11:00:00
2020-01-01,25,32317,32961,29747,1538,6465,1067,13040,0,9,1998,0,999,-35,10,999,0,0,0,0,2020-01-01 12:00:00
2020-01-01,27,32943,33554,30251,1590,6465,851,13040,0,11,2000,0,999,73,24,1000,0,0,0,0,2020-01-01 13:00:00
2020-01-01,29,33273,33882,30601,1616,6465,457,13040,0,9,2000,0,999,81,250,1000,0,0,0,0,2020-01-01 14:00:00
2020-01-01,31,33908,34517,31160,1643,6465,61,13040,0,9,2000,0,956,81,353,973,0,0,0,0,2020-01-01 15:00:00
2020-01-01,33,35524,36139,32662,1764,6465,0,13040,0,15,1999,0,998,81,504,1018,0,0,0,0,2020-01-01 16:00:00
2020-01-01,35,37271,37877,34372,1890,6465,0,13040,0,6,2000,0,980,81,504,969,0,0,0,0,2020-01-01 17:00:00
2020-01-01,37,36138,36745,33460,1965,6465,0,13040,0,7,2000,0,898,81,504,147,0,0,0,0,2020-01-01 18:00:00
2020-01-01,39,34613,35221,32127,2046,6465,0,13040,0,8,2001,0,729,81,504,127,0,0,0,0,2020-01-01 19:00:00
2020-01-01,41,32734,33343,30388,2172,6465,0,13040,0,9,2000,0,831,81,504,337,0,0,0,0,2020-01-01 20:00:00
2020-01-01,43,30352,31121,28221,2235,6465,0,13040,0,9,1906,0,945,81,504,-160,0,0,0,0,2020-01-01 21:00:00
2020-01-01,45,27187,28451,25315,2353,6465,0,13040,0,9,1430,0,856,81,504,-655,0,0,0,0,2020-01-01 22:00:00
2020-01-01,47,24414,25023,22661,2532,6465,0,13040,0,9,695,0,419,81,504,19,0,0,0,0,2020-01-01 23:00:00
2020-01-02,1,23040,23830,21509,2714,6465,0,13040,0,190,1151,0,136,81,504,115,0,0,0,0,2020-01-02 00:00:00
2020-01-02,3,23037,23938,21619,2837,6465,0,13040,0,289,441,0,258,81,504,-12,0,0,0,0,2020-01-02 01:00:00
2020-01-02,5,21773,24031,20517,2901,6465,0,13040,0,606,-1051,0,310,81,504,-1,0,0,0,0,2020-01-02 02:00:00
2020-01-02,7,20953,24037,19694,3007,6465,0,13040,0,591,-1609,0,134,81,504,-284,0,0,0,0,2020-01-02 03:00:00
2020-01-02,9,20398,24410,19161,3165,6465,0,13040,0,703,-1628,0,-337,81,504,-744,0,0,0,0,2020-01-02 04:00:00
2020-01-02,11,21150,24518,19891,3346,6465,0,13040,0,564,-1378,0,-143,81,504,-684,0,0,0,0,2020-01-02 05:00:00
2020-01-02,13,24339,27009,23046,3382,6465,0,13040,0,8,-1734,0,-294,81,504,-33,0,0,0,0,2020-01-02 06:00:00
2020-01-02,15,28428,30972,26994,3489,6465,0,13040,0,9,-969,0,-147,81,504,-819,0,0,0,0,2020-01-02 07:00:00
2020-01-02,17,31417,33373,29916,3759,6465,0,13040,0,9,-1104,0,-2,81,504,-241,0,0,0,0,2020-01-02 08:00:00
2020-01-02,19,34075,34926,32315,3890,6465,287,13040,0,9,-235,0,0,81,504,-7,0,0,0,0,2020-01-02 09:00:00
2020-01-02,21,35016,35742,33025,3994,6465,865,13040,0,9,-117,0,0,81,504,0,0,0,0,0,2020-01-02 10:00:00
2020-01-02,23,35668,36276,33513,4211,6465,765,13040,0,8,244,0,0,81,504,0,0,0,0,0,2020-01-02 11:00:00
2020-01-02,25,36409,37018,34122,4354,6465,683,13040,0,9,517,0,0,81,504,0,0,0,0,0,2020-01-02 12:00:00
2020-01-02,27,36389,36998,34074,4406,6465,450,13040,0,9,23,0,0,81,504,0,0,0,0,0,2020-01-02 13:00:00
2020-01-02,29,36394,37001,34143,4348,6465,264,13040,0,7,0,0,178,81,504,0,0,0,0,0,2020-01-02 14:00:00
2020-01-02,31,37055,37959,34835,4348,6465,29,13040,0,11,276,0,-146,81,504,-147,0,0,0,0,2020-01-02 15:00:00
2020-01-02,33,38890,39508,36496,4394,6465,0,13040,0,18,1673,0,254,22,310,530,0,0,0,0,2020-01-02 16:00:00
2020-01-02,35,40528,41219,37872,4306,6465,0,13040,0,8,1991,0,630,-83,82,954,0,0,0,0,2020-01-02 17:00:00
2020-01-02,37,39465,40445,36967,4291,6465,0,13040,0,8,1664,0,642,-287,-85,316,0,0,0,0,2020-01-02 18:00:00
2020-01-02,39,37487,38702,35213,4244,6465,0,13040,0,9,1736,0,866,-424,-182,982,0,0,0,0,2020-01-02 19:00:00
2020-01-02,41,34913,35987,32717,4059,6465,0,13040,0,9,1988,0,770,-363,-102,914,0,0,0,0,2020-01-02 20:00:00
2020-01-02,43,31761,32539,29781,3894,6465,0,13040,0,14,567,0,887,-164,53,926,0,0,0,0,2020-01-02 21:00:00
2020-01-02,45,28148,29372,26393,3817,6465,0,13040,0,14,-610,0,805,59,113,150,0,0,0,0,2020-01-02 22:00:00
2020-01-02,47,25394,26936,23633,3576,6465,0,13040,0,11,-575,0,657,80,283,-356,0,0,0,0,2020-01-02 23:00:00
2020-01-03,1,23901,25670,22216,3196,6465,0,13041,0,14,-780,0,450,81,353,-375,0,0,0,0,2020-01-03 00:00:00
2020-01-03,3,24294,26280,22495,2851,6465,0,13041,0,728,-335,0,105,47,353,-323,0,0,0,0,2020-01-03 01:00:00
2020-01-03,5,23295,25819,21467,2545,6465,0,13041,0,1461,614,0,-98,-18,354,-347,0,0,0,0,2020-01-03 02:00:00
2020-01-03,7,22818,25454,20955,2409,6465,0,13041,0,1445,1049,0,-103,-224,354,-264,0,0,0,0,2020-01-03 03:00:00
2020-01-03,9,22201,24274,20322,2399,6465,0,13041,0,1197,147,0,-2,-109,330,-165,0,0,0,0,2020-01-03 04:00:00
2020-01-03,11,22905,23998,21113,2415,6465,0,13041,0,360,54,0,307,29,82,-134,0,0,0,0,2020-01-03 05:00:00
2020-01-03,13,26175,26874,24148,2508,6465,0,13041,0,19,1153,0,590,-80,0,539,0,0,0,0,2020-01-03 06:00:00
2020-01-03,15,29967,30917,27627,2514,6465,0,13041,0,70,1959,0,896,-280,0,280,0,0,0,0,2020-01-03 07:00:00
2020-01-03,17,33354,34485,30727,2573,6465,0,13041,0,92,1999,0,555,-439,0,878,0,0,0,0,2020-01-03 08:00:00
2020-01-03,19,35866,37041,33105,2519,6465,239,13041,0,14,1999,0,609,-370,-191,996,0,0,0,0,2020-01-03 09:00:00
2020-01-03,21,36095,37496,33343,2491,6465,1054,13041,0,12,1999,0,-101,-446,-242,1000,0,0,0,0,2020-01-03 10:00:00
2020-01-03,23,35545,36907,32740,2652,6465,2510,13041,0,13,1999,0,216,-455,-294,999,0,0,0,0,2020-01-03 11:00:00
2020-01-03,25,35558,36970,32669,2882,6465,3116,13041,0,9,1998,0,328,-410,-393,1000,0,0,0,0,2020-01-03 12:00:00
2020-01-03,27,35109,36386,32336,2893,6465,2964,13041,0,9,1998,0,727,-455,-213,999,0,0,0,0,2020-01-03 13:00:00
2020-01-03,29,35189,36253,32555,2830,6465,2259,13041,0,9,1999,0,793,-421,-34,967,0,0,0,0,2020-01-03 14:00:00
2020-01-03,31,36286,37213,33608,2712,6465,702,13041,0,9,1999,0,785,-318,0,998,0,0,0,0,2020-01-03 15:00:00
