SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,datetime
2023-01-01,1,21043,24680,18995,2815,6545,0,15037,0,1161,0,609,903,-896,-451,-529,253,235,998,0,0,2023-01-01 00:00:00
2023-01-01,3,21348,25269,19327,2773,6545,0,15037,0,1212,0,516,983,-910,-451,-529,253,-219,999,0,0,2023-01-01 01:00:00
2023-01-01,5,19781,24135,17806,2712,6545,0,15037,0,1233,0,600,903,-912,-401,-529,253,-679,998,0,0,2023-01-01 02:00:00
2023-01-01,7,18511,22969,16459,2615,6545,0,15037,0,1224,0,609,895,-697,-401,-530,253,-1006,994,0,0,2023-01-01 03:00:00
2023-01-01,9,17363,21875,15221,2511,6545,0,15037,0,1124,0,566,811,-814,-401,-529,253,-1044,933,0,0,2023-01-01 04:00:00
2023-01-01,11,17091,22058,14910,2380,6545,0,15037,0,1208,0,912,891,-900,-401,-530,-284,-1044,963,0,0,2023-01-01 05:00:00
2023-01-01,13,17748,22680,15545,2226,6545,0,15037,0,1196,0,998,979,-880,-405,-530,-277,-1044,996,0,0,2023-01-01 06:00:00
2023-01-01,15,18743,23244,16449,2077,6545,0,15037,0,630,0,1006,991,-839,-451,-530,-407,-1044,998,0,0,2023-01-01 07:00:00
2023-01-01,17,19675,23428,17346,1953,6545,0,15037,0,637,0,1001,991,-483,-451,-530,-416,-636,998,0,0,2023-01-01 08:00:00
2023-01-01,19,21442,23464,19046,1888,6545,515,15037,0,287,0,1006,991,140,-446,-511,47,-178,998,0,0,2023-01-01 09:00:00
2023-01-01,21,23089,24401,20476,1851,6545,1162,15037,0,58,0,1005,992,926,-426,-228,926,276,998,0,0,2023-01-01 10:00:00
2023-01-01,23,24677,26040,21847,1839,6545,1453,15037,0,6,0,1005,991,1004,-425,-332,999,725,997,0,0,2023-01-01 11:00:00
2023-01-01,25,26670,27966,23654,1803,6545,1251,15037,0,4,0,1005,991,1003,-392,-300,999,1056,997,0,0,2023-01-01 12:00:00
2023-01-01,27,27541,28815,24417,1693,6545,959,15037,0,6,0,1004,991,1003,-399,-269,999,1095,997,0,0,2023-01-01 13:00:00
2023-01-01,29,27881,29217,24760,1534,6545,512,15037,0,6,0,1005,991,1003,-390,-340,999,1095,998,0,0,2023-01-01 14:00:00
2023-01-01,31,28818,30336,25684,1377,6545,94,15037,0,2,0,1005,992,1004,-413,-503,999,1095,998,0,0,2023-01-01 15:00:00
2023-01-01,33,30837,32160,27525,1234,6545,0,15037,0,6,0,1005,992,1003,-311,-406,1017,1095,998,0,0,2023-01-01 16:00:00
2023-01-01,35,32628,34003,29230,1119,6545,0,15037,0,0,0,1005,991,875,-334,-441,1005,1095,998,0,0,2023-01-01 17:00:00
2023-01-01,37,31740,33007,28532,1044,6545,0,15037,0,5,0,1005,992,994,-358,-304,1018,1095,998,0,0,2023-01-01 18:00:00
2023-01-01,39,30330,31475,27370,996,6545,0,15037,0,9,0,1005,991,1003,-248,-288,1019,1095,998,0,0,2023-01-01 19:00:00
2023-01-01,41,28532,29486,25700,948,6545,0,15037,0,7,0,1005,991,998,-224,-123,1019,1095,999,0,0,2023-01-01 20:00:00
2023-01-01,43,27163,27978,24521,895,6545,0,15037,0,6,0,1005,991,1002,-191,-18,1001,1095,999,0,0,2023-01-01 21:00:00
2023-01-01,45,25146,25754,22721,863,6545,0,15037,0,8,0,1005,991,1003,18,23,999,1095,999,0,0,2023-01-01 22:00:00
2023-01-01,47,22885,23783,20585,917,6545,0,15037,0,128,0,1005,992,1003,-55,-115,999,1237,999,0,0,2023-01-01 23:00:00
2023-01-02,1,21770,22893,19595,999,6545,0,15038,0,357,0,1005,992,1003,-166,0,999,1257,999,0,0,2023-01-02 00:00:00
2023-01-02,3,21904,22889,19799,1020,6545,0,15038,0,385,0,1005,992,1003,18,0,999,1257,999,0,0,2023-01-02 01:00:00
2023-01-02,5,20818,22093,19009,1046,6545,0,15038,0,652,0,1005,992,1002,-23,0,999,1257,999,0,0,2023-01-02 02:00:00
