SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,datetime
2025-01-01,1,21036,26215,19918,5405,6606,0,19270,0,859,6353,-1518,-1026,1,-232,-386,-558,96,0,241,0,2025-01-01 00:00:00
2025-01-01,3,21385,25734,20328,5237,6606,0,19270,0,691,6380,-1428,-922,1,-119,-384,-205,62,0,414,0,2025-01-01 01:00:00
2025-01-01,5,19634,24912,18654,5080,6606,0,19270,0,854,6142,-1539,-899,0,-119,-363,-622,-282,0,288,0,2025-01-01 02:00:00
2025-01-01,7,18874,24258,17855,4972,6606,0,19270,0,777,6549,-1467,-924,0,-119,-390,-777,-330,0,147,0,2025-01-01 03:00:00
2025-01-01,9,17844,24100,16774,4815,6606,0,19270,0,914,6586,-1541,-1021,1,-119,-412,-855,-538,0,-256,0,2025-01-01 04:00:00
2025-01-01,11,17383,23985,16289,4594,6606,0,19270,0,910,6011,-1546,-1026,1,-119,-498,-793,-826,0,-284,0,2025-01-01 05:00:00
2025-01-01,13,18620,24067,17411,4314,6606,0,19270,0,898,5977,-1546,-1028,0,-119,-207,-349,-531,0,-169,0,2025-01-01 06:00:00
2025-01-01,15,19371,23563,18095,4254,6606,0,19270,0,900,5384,-1478,-460,1,-119,-189,133,-446,0,192,0,2025-01-01 07:00:00
2025-01-01,17,20047,23638,18688,4600,6606,0,19270,0,887,4826,-1144,-474,1,-121,-333,437,-32,0,260,0,2025-01-01 08:00:00
2025-01-01,19,22290,25010,20754,4849,6606,29,19270,0,875,5440,-425,74,1,-300,-520,167,419,0,897,0,2025-01-01 09:00:00
2025-01-01,21,24685,26796,23023,4715,6606,222,19270,0,680,5158,53,507,0,-300,-531,710,867,0,885,0,2025-01-01 10:00:00
2025-01-01,23,26995,29359,25023,4448,6606,377,19270,0,783,4687,1354,963,0,-450,-531,1008,1317,0,982,0,2025-01-01 11:00:00
2025-01-01,25,28785,30144,26600,4270,6606,475,19270,0,18,4841,1508,991,1,-369,-372,1019,1394,0,985,0,2025-01-01 12:00:00
2025-01-01,27,29865,31056,27517,4007,6606,511,19270,0,5,5239,1511,992,1,-451,-135,1019,1397,0,985,0,2025-01-01 13:00:00
2025-01-01,29,29999,31271,27504,3541,6606,353,19270,0,9,4839,1511,992,1,-449,-214,1000,1397,0,985,0,2025-01-01 14:00:00
2025-01-01,31,30780,32235,28104,3140,6606,71,19270,0,10,4077,1510,991,1,-445,-400,999,1397,0,985,0,2025-01-01 15:00:00
2025-01-01,33,32260,33833,29332,2734,6606,0,19270,0,13,3680,1510,991,0,-450,-510,999,1397,0,985,0,2025-01-01 16:00:00
2025-01-01,35,34021,35612,30977,2340,6606,0,19270,0,11,3637,1510,991,0,-450,-530,999,1397,0,985,0,2025-01-01 17:00:00
2025-01-01,37,33569,35157,30715,2081,6606,0,19270,0,7,3923,1510,991,1,-450,-531,999,1397,0,985,0,2025-01-01 18:00:00
